product_upc,product_name,product_category,product_description,product_price,profit_ratio,product_rating
574462673372,Deluxe First Aid Kit,Health,Comprehensive first aid kit for home and travel.,40.27,0.65,4.3
574491548402,Whole Chicken,Food - Meat,"A whole free-range chicken, ready for roasting.",51.12,0.68,1.1
574480012089,Maple Pecan Pancake Mix,Food - Breakfast,"A fluffy pancake mix infused with maple and pecans, perfect for a hearty breakfast.",24.56,0.53,3.1
574485628963,Lentils,Food - Grains,"High in protein, perfect for soups and stews.",44.35,0.57,4.7
574461216611,Plant-Based Meal Prep Containers,Kitchen,Eco-friendly meal prep containers for healthy eating.,22.24,0.58,4.2
574453623733,Wild Rice & Quinoa Mix,Food - Grains,"Nutritious blend of wild rice and quinoa, perfect as a side dish.",37.66,0.74,2.5
574461431124,Maple Glazed Carrots,Food - Prepared Foods,Tender carrots glazed with a sweet maple sauce.,17.25,0.59,3.9
574404498569,Basil Lemonade,Food - Beverages,Refreshing basil-infused lemonade for a cool drink.,20.9,0.69,2.6
574430703427,Coconut Granola,Food - Snacks,Crunchy granola mixed with coconut flakes.,37.07,0.77,4.8
574437053848,Cheesy Cauliflower Bake,Food - Frozen Vegetables,"A frozen cheesy bake made with cauliflower, great as a side dish or a vegetarian meal.",23.78,0.76,1.5
574448188910,Portable Phone Charger,Accessories,High-capacity power bank for charging devices on the go.,25.34,0.68,1.4
574419085889,Infrared Space Heater,Home Appliances,Energy-efficient infrared heater for home use.,51.57,0.44,1.4
574417563965,Picnic Blanket,Outdoor,Waterproof picnic blanket for outdoor fun.,27.53,0.58,3.3
574419810172,Vegetable Fried Rice Mix,Food - Frozen Food,A quick and easy fried rice mix with colorful veggies and savory seasoning.,32.73,0.59,2.4
574453298446,Couscous Mix,Food - Grains,"Fluffy couscous that cooks in just minutes, perfect as a side.",52.44,0.64,4.4
574456740862,Saffron Rice Mix,Food - Grains,Flavorful rice mix with saffron and spices.,18.96,0.6,2.2
574402510495,Teriyaki Chicken Skewers,Food - Meat,Grilled chicken skewers glazed with teriyaki sauce.,31.35,0.57,2.8
574420986384,Silicone Stretch Lids,Kitchen,Reusable silicone lids for covering food in bowls and storage containers.,29.94,0.8,1.6
574402442675,Ski Goggles,Sports,Anti-fog ski goggles for winter sports.,44.58,0.76,3.7
574415765336,Yoga Wheel,Fitness,Supportive yoga wheel for deep stretching and balance.,23.75,0.53,3
574401046579,Scented Candle Set,Home,Set of soothing scented candles for relaxation and ambiance.,29.07,0.43,1.2
574467617127,Wall-Mounted Spice Rack,Kitchen,Space-saving rack to store and organize spices conveniently.,21.07,0.48,1.5
574477622296,Foldable Picnic Table,Outdoor,Lightweight and portable picnic table for outdoor use.,33.07,0.57,1.1
574403870428,Frozen Vegetarian Pizza,Food - Frozen Meals,A delicious pizza loaded with vegetables,53.1,0.67,2.3
574436534326,Hiking Water Bottle with Filter,Outdoor,8oz water bottle with built-in filter for clean drinking water.,31.89,0.42,2.4
574456167029,Travel Pillow,Travel,Memory foam travel pillow for neck support.,26.81,0.68,4.1
574462317681,Tea Set with Infuser,Kitchen,Elegant tea set that includes an infuser for brewing.,21.59,0.68,2.5
574435388720,Ceramic Cookware Set,Kitchen,Durable and non-stick ceramic cookware for healthy cooking.,23.37,0.44,3.2
574484903473,Coconut Cream Pie,Food - Bakery,Delicious pie filled with coconut cream and topped with whipped cream.,42.1,0.77,2.3
574447138533,Italian Herb Balsamic Marinade,Food - Condiments,"A rich marinade perfect for meats and vegetables, infused with Italian herbs and balsamic vinegar.",29.02,0.53,1.2
574450529566,Popcorn Chicken,Food - Frozen,"Crispy chicken bites, perfect for dipping.",37.04,0.47,4.2
574452649069,Frozen Fruit Medley,Food - Frozen Foods,"A mix of strawberries, blueberries, and raspberries, perfect for smoothies.",33.96,0.6,4.9
574479238621,Organic Tomato Ketchup,Food - Condiments,"Classic ketchup made from organic tomatoes, no added sugar.",27.72,0.79,1.7
574488572539,Sturdy Bookends,Office,Stylish bookends to keep books organized on shelves.,48.01,0.71,1
574464024918,Reusable Produce Bags Set,Kitchen,Eco-friendly mesh bags for shopping produce at the market.,55.5,0.68,4
574427535275,Travel Mug with Leak-Proof Lid,Kitchen,Stainless steel travel mug that keeps drinks hot or cold.,54.37,0.61,4.3
574418231424,Rice Cakes,Food - Snacks,"Light and crispy rice cakes, a perfect low-calorie snack.",22.46,0.5,2.2
574424688489,Ice Cream,Food - Frozen Foods,"Rich and creamy ice cream, available in various flavors.",19.32,0.57,4.3
574438829548,Whole Grain Cereal,Food - Breakfast,"Healthy whole grain cereal, great for breakfast.",36.41,0.69,4.1
574472195045,Mini Waffle Maker,Kitchen,Compact waffle maker for perfect small waffles.,36.37,0.62,4.1
574483548556,Strawberry Banana Smoothie Pack,Food - Frozen,Frozen smoothie pack with strawberries and bananas.,37.21,0.42,1.2
574408912854,Whole Wheat Pasta,Food - Grains,Nutritious and hearty pasta made from whole wheat flour.,28.3,0.58,1.4
574425069329,Almond Butter Crunch Bar,Food - Snacks,Nutritious snack bar made with almond butter and protein.,53.13,0.46,2.9
574434497775,Beef Stew Meat,Food - Meat,Tender beef chunks for slow-cooked stews.,22.5,0.63,2.1
574438938970,Noise-Canceling Headphones,Audio,High-quality headphones that block out external noise for immersive listening.,26.72,0.47,4.9
574495051857,Outdoor Camping Hammock,Outdoor,Lightweight and durable hammock for relaxing in nature.,50.85,0.51,3
574436908190,Mango Chutney,Food - Condiments,Sweet and tangy mango chutney for a flavorful dip.,33.8,0.53,2.7
574454879452,Ribbed Knit Dress,Clothing - Dresses,A fitted ribbed knit dress that hugs your curves perfectly.,26.77,0.41,1.4
574435190009,Savory Mushroom Risotto,Food - Gourmet Rice,Creamy risotto infused with wild mushrooms.,48.97,0.57,3.4
574448224845,Compact Shoe Rack,Home,Space-efficient shoe rack to keep entryways organized.,40.19,0.58,4.8
574412642027,Organic Whole Grain Oats,Food - Breakfast,Whole grain oats that are perfect for breakfast or baking.,17.21,0.54,4.8
574491853841,Athletic Compression Tights,Clothing - Activewear,High-performance compression tights designed for optimal support and comfort.,25.74,0.54,3.6
574424576405,Board Game Storage,Toys,Organize your board games with this storage bin.,48.41,0.5,2.4
574480911473,Set of Silicone Cooking Utensils,Kitchen,Non-stick utensils for safe and easy cooking.,54.67,0.41,3.3
574427008440,Dog Training Collar,Pets,Rechargeable training collar for effective behavior training.,37.71,0.46,3.4
574410281339,Dog Frisbee Toy,Pets,Durable and soft frisbee designed for dogs to play with.,25.11,0.52,1.8
574404627516,Electric Heat Press Machine,Crafts,Ideal for creating custom designs on t-shirts and fabrics.,58.11,0.46,4.1
574425725994,Wireless Earbud Silicone Covers,Accessories,Soft silicone earbud covers for comfort and fit.,28.54,0.73,3.8
574485097457,Multi-Function Smartphone Holder,Electronics,"Versatile holder that can be used on desks, cars, and more.",54.69,0.74,3.1
574484076944,Sweet Potato & Kale Hash,Food - Prepared Foods,"Savory hash made with sweet potatoes and kale, a perfect side dish.",35.39,0.77,1.5
574473547794,Electric Food Slicer,Kitchen,"Versatile slicer for meats, cheeses, and vegetables.",28.24,0.68,3.2
574492127844,Compact Refrigerator,Home Appliances,Mini refrigerator ideal for small spaces.,39.11,0.58,4.6
574470528150,Wireless Induction Charger,Electronics,Qi-certified charger for fast wireless charging of smartphones.,52.67,0.68,1.4
574430133102,Multi-Tool,Outdoor,Versatile multi-tool with 15 different functions.,34.09,0.73,1.8
574486783001,Caramel Apple Taffy,Food - Confectionery,"Sweet and chewy taffy flavored like caramel apples, great for fall.",41.92,0.64,3.4
574439922191,Camping Chair with Cooler,Outdoor,Foldable chair equipped with a cooler pouch.,49.57,0.75,4.4
574478580898,Smart Water Bottle,Fitness,Water bottle that tracks your hydration levels.,43.34,0.71,3.8
574443755826,Silicone Wine Glasses,Outdoor,Durable and shatterproof silicone glasses for outdoor use.,24.02,0.49,1.9
574448546947,Bamboo Cotton Tank Top,Clothing - Tops,"Sustainable tank top made of bamboo cotton, offering breathability and comfort.",23.42,0.7,3.5
574445998544,Kids' Gardening Tools Set,Toys,Fun and colorful gardening tools designed for children.,23.85,0.68,4.2
574432560191,Classic White T-Shirt,Clothing - Tops,A timeless wardrobe staple crafted from soft cotton with a perfect fit.,34.55,0.51,3.5
574424383317,Electric Griddle,Kitchen,Large electric griddle for family meals.,46.02,0.65,2.4
574493315199,Lemon Herb Chicken,Food - Meat,Marinated chicken grilled with lemon and herbs.,30.54,0.66,4.9
574439121281,Portable Blender,Kitchen,Battery-operated blender for smoothies on the go.,40.62,0.76,1.6
574447427687,Heart-Shaped Baking Molds,Kitchen,Love-themed molds for creating desserts and treats.,35.7,0.54,1.6
,,,,,,
